Time,Temperature,Humidity
172320,21.94,37.958
172845,22.14,40.631
173371,21.95,41.765
173897,22.02,35.325
174426,21.94,37.958
174955,21.94,41.684
175484,22.14,40.631
176013,22.06,50.513
176543,22.02,35.325
177076,21.94,37.958
177609,22.04,50.513
178142,21.95,41.684
178676,22.02,35.366
179210,22.14,40.631
179747,22.15,40.631
180284,21.94,41.684
180822,21.95,37.958
181360,22.01,35.366
181898,22.04,50.513
182439,21.93,41.684
182980,22.16,40.672
183521,21.95,37.958
184062,22.04,50.513
184604,22.01,35.366
185149,21.94,37.958
185694,22.14,40.672
186239,22.01,35.325
186784,21.94,41.684
187329,22.05,50.594
187878,21.94,41.724
188427,21.94,37.958
188976,22.04,50.594
189526,22,35.245
190076,22.14,40.712
190629,22,35.204
191182,21.93,37.958
191735,22.14,40.712
192289,21.93,41.765
192843,22.04,50.594
193400,22.15,40.672
193957,21.93,37.958
194514,22.01,35.204
195071,22.05,50.594
195629,21.93,41.846
196190,22.14,40.672
196751,21.94,37.958
197312,22.04,50.594
197874,21.94,41.765
198436,22.01,35.123
199001,22.04,50.594
199566,21.94,37.958
200131,21.94,41.765
200696,22.14,40.672
201262,22.01,35.204
201831,21.95,41.765
202400,22.01,35.204
202970,22.05,50.594
203540,21.94,37.958
204110,22.15,40.712
204683,21.95,37.958
205256,22.14,40.712
205829,21.94,41.724
206403,22.04,50.635
206977,22.01,35.204
207554,21.94,41.724
208131,22.02,35.204
208709,21.94,37.958
209287,22.14,40.712
209866,22.04,50.594
210447,22.02,35.204
211028,22.14,40.712
211610,22.04,50.635
212192,21.96,37.958
212774,21.94,41.765
213359,22.04,50.635
213944,22.02,35.204
214529,21.95,37.917
215114,22.13,40.712
215703,22.14,40.712
216292,21.95,37.958
216881,21.94,41.765
217470,22.04,50.594
218060,22.02,35.245
218652,21.93,41.765
219245,22.13,40.752
219838,22.01,35.285
220431,21.94,41.806
221024,22.04,50.594
221618,21.95,37.917
222215,22.02,35.325
222812,21.94,41.765
223409,22.12,40.793
224007,21.94,37.958
224605,22.04,50.594
225206,22.02,35.366
225807,21.96,37.958
226408,22.02,50.594
227010,21.94,41.765
227612,22.13,40.712
228217,21.93,41.765
228822,22.13,40.712
229427,22.03,50.594
230033,21.95,38.039
230639,22.01,35.366
231248,22.12,40.712
231857,22.01,35.366
232466,21.94,41.846
233076,21.95,38.039
233686,22.03,50.594
234299,22.13,40.712
234912,22.02,50.594
235525,21.94,38.039
236139,21.94,41.846
236753,22.02,35.366
237370,22.03,50.594
237988,22.12,40.712
238606,21.95,37.999
239224,22.01,35.366
239842,21.94,41.846
240463,22.02,35.366
241085,21.95,37.999
241707,21.93,41.806
242329,22.04,50.594
242951,22.11,40.712
243576,22.11,40.793
244201,22.01,35.366
244827,21.95,37.999
245453,21.94,41.806
246079,22.03,50.594
246708,22,35.285
247337,22.04,50.594
247966,21.93,41.806
248595,22.11,40.834
249225,21.94,37.958
249858,21.94,41.806
250491,22.04,50.554
251125,21.94,37.958
251759,22,35.407
252393,22.11,40.793
253030,22.02,50.513
253668,21.95,37.958
254306,22.11,40.793
254944,22,35.447
255582,21.94,43.466
256223,22,35.447
256865,21.94,42.575
257507,22.1,40.793
258149,22.03,50.554
258791,21.96,37.958
259436,21.96,37.999
260081,21.94,42.373
260726,22.03,50.554
261371,22.11,40.793
262017,22,35.447
262666,22,35.407
263315,21.94,37.958
263964,21.94,42.13
264614,22.02,50.594
265264,22.1,40.793
265917,22.03,50.554
266570,21.95,42.048
267223,22.11,40.793
267876,21.94,37.958
268530,22,35.447
269187,22.01,35.447
269844,22.11,40.712
270501,21.95,37.958
271158,21.96,41.968
271816,22.02,50.554
272477,22.02,50.554
273138,22.02,35.487
273799,21.94,41.968
274461,21.96,37.999
275123,22.1,40.712
275788,21.94,42.008
276454,22.02,35.487
277120,21.95,37.999
277786,22.02,50.594
278452,22.11,40.712
279121,21.94,41.927
279791,22.02,35.528
280461,21.96,37.999
281131,22.11,40.712
281801,22.02,50.635
282474,22,35.528
283147,22.02,50.635
283820,22.1,40.793
284494,22,51.647
285168,21.96,37.999
285845,22.01,35.487
286522,21.95,37.999
287199,21.99,45.288
287877,22.03,50.635
288555,22.11,40.793
289236,22.1,40.793
289917,21.95,37.958
290598,22.02,50.635
291280,22.01,35.447
291962,21.98,42.818
292647,21.97,42.251
293332,22.12,40.793
294018,22,35.447
294704,21.94,37.958
295390,22.03,50.554
296079,22.02,50.554
296769,22.01,35.447
297459,22.12,40.834
298149,21.97,42.048
298839,21.95,37.999
299532,22.1,40.793
300225,21.98,42.17
300918,21.95,37.999
301611,22.01,35.447
302305,22.04,50.554
303002,21.96,42.089
303699,21.95,37.999
304396,22.02,50.594
305094,22.1,40.793
305792,22.01,35.447
306493,22.02,50.594
307194,22.01,35.407
307895,22.1,40.793
308597,21.95,37.999
309299,21.97,41.927
310004,22.03,50.594
310709,22.11,40.793
311415,21.95,37.999
312121,21.96,41.927
312827,22,35.366
313536,21.96,38.039
314245,22.11,40.834
314954,22.03,50.594
315663,22,35.325
316373,21.97,41.968
317086,22.1,40.834
317799,21.94,38.039
318512,22,35.285
319226,21.96,41.927
319940,22.03,50.675
320657,22,35.325
321374,21.97,41.927
322091,22.1,40.874
322808,22.02,50.675
323526,21.95,38.039
324247,21.96,38.039
324968,22.02,50.675
325689,22,35.325
326411,22.1,40.874
327133,21.96,41.927
327858,22.01,35.325
328583,21.95,38.039
329308,22.1,40.874
330034,22.01,50.675
330760,21.96,42.008
331489,22.02,35.325
332218,22.03,50.675
332947,22.1,40.834
333677,21.96,42.008
334407,21.97,38.039
335140,21.96,38.039
335873,22.01,50.635
336606,22.1,40.834
337339,22,35.285
338073,21.96,42.008
338810,21.95,38.039
339547,22.01,50.594
340285,21.96,42.008
341023,22.01,35.285
341761,22.08,40.874
342502,22.09,40.874
343243,21.96,38.039
343984,22,35.245
344726,21.95,42.008
345468,22.02,50.594
346213,21.96,38.039
346958,22.1,40.874
347703,21.95,42.048
348449,22,35.245
349195,22.01,50.594
349944,21.95,42.089
