Time,Temperature,Humidity
253311,21.4,60.476
254134,21.69,45.612
254957,21.52,48.367
255783,21.52,48.367
256609,21.7,45.612
257436,21.4,60.476
258266,21.52,48.367
259097,21.7,45.612
259928,21.4,60.476
260762,21.51,48.326
261596,21.69,45.612
262431,21.4,60.476
263270,21.69,45.612
264109,21.53,48.326
264948,21.41,60.476
265790,21.69,45.612
266633,21.4,60.476
267476,21.52,48.326
268322,21.7,45.612
269169,21.4,60.476
270016,21.52,48.285
270866,21.53,48.326
271716,21.68,45.612
272567,21.4,60.476
273422,21.41,60.476
274277,21.54,48.407
275132,21.69,45.612
275990,21.39,60.476
276849,21.52,48.326
277708,21.68,45.612
278570,21.4,60.476
279432,21.52,48.326
280295,21.7,45.612
281161,21.4,60.476
282027,21.7,45.612
282894,21.53,48.326
283764,21.7,45.612
284634,21.4,60.476
285505,21.54,48.326
286379,21.53,48.407
287253,21.41,60.476
288127,21.7,45.612
289005,21.4,60.476
289884,21.52,48.407
290763,21.69,45.612
291645,21.7,45.572
292528,21.52,48.367
293411,21.41,60.476
294297,21.7,45.612
295183,21.53,48.367
296070,21.41,60.476
296960,21.53,48.367
297850,21.7,45.612
298741,21.4,60.476
299635,21.7,45.612
300530,21.41,60.476
301425,21.53,48.407
302323,21.42,60.476
303222,21.7,45.572
304121,21.52,48.407
305023,21.52,48.326
305925,21.42,60.476
306827,21.71,45.572
307734,21.52,48.326
308641,21.41,60.476
309548,21.7,45.612
310458,21.53,48.367
311369,21.4,60.476
312280,21.7,45.572
313195,21.42,60.476
314110,21.52,48.447
315025,21.7,45.612
315943,21.52,48.367
316862,21.7,45.612
317781,21.42,60.476
318703,21.52,48.407
319625,21.69,45.612
320547,21.42,60.476
321473,21.7,45.612
322400,21.53,48.407
323327,21.41,60.476
324257,21.7,45.612
325188,21.53,48.367
326119,21.41,60.476
327054,21.7,45.612
327989,21.53,48.326
328924,21.41,60.476
329862,21.7,45.612
330801,21.4,60.476
331740,21.53,48.367
332682,21.54,48.407
333625,21.42,60.476
334568,21.7,45.612
335514,21.53,48.407
336461,21.7,45.572
337408,21.4,60.476
338358,21.7,45.572
339309,21.54,48.407
340261,21.4,60.476
341215,21.41,60.476
342169,21.53,48.407
343124,21.69,45.572
344082,21.41,60.476
345040,21.7,45.612
345999,21.52,48.367
346961,21.53,48.407
347924,21.7,45.572
348887,21.4,60.476
349853,21.41,60.476
350819,21.52,48.488
351786,21.71,45.572
352756,21.53,48.488
353727,21.38,60.476
354698,21.7,45.572
355673,21.52,48.529
356648,21.41,60.476
357623,21.69,45.572
358601,21.4,60.476
359579,21.7,45.572
360558,21.53,48.569
361540,21.53,48.609
362523,21.7,45.572
363506,21.4,60.476
364492,21.71,45.572
365478,21.53,48.691
366465,21.42,60.476
367455,21.7,45.572
368446,21.42,60.476
369437,21.53,48.691
370431,21.52,48.569
371425,21.71,45.572
372419,21.42,60.476
373418,21.4,60.476
374417,21.71,45.572
375416,21.52,48.731
376418,21.7,45.572
377421,21.4,60.476
378424,21.52,48.772
379430,21.52,48.691
380437,21.7,45.572
381444,21.4,60.476
382454,21.4,60.476
383465,21.71,45.572
384476,21.52,48.65
385490,21.71,45.572
386504,21.52,48.65
387519,21.4,60.476
388537,21.41,60.476
389555,21.71,45.572
390574,21.52,48.731
391596,21.42,60.476
392619,21.51,48.772
393642,21.7,45.572
394668,21.52,48.731
395694,21.42,60.476
396721,21.71,45.572
397751,21.52,48.691
398781,21.4,60.476
399811,21.71,45.612
400845,21.52,48.731
401880,21.72,45.612
402915,21.42,60.476
403953,21.71,45.612
404991,21.41,60.476
406030,21.52,48.731
407072,21.52,48.772
408115,21.4,60.476
409158,21.71,45.653
410204,21.72,45.612
411250,21.4,60.476
412297,21.51,48.812
413347,21.52,48.812
414397,21.41,60.476
415448,21.72,45.612
416503,21.52,48.893
417558,21.41,60.476
418613,21.71,45.612
419671,21.4,60.476
420730,21.52,48.893
421789,21.7,45.572
422851,21.71,45.612
423913,21.51,48.852
424976,21.41,60.476
426042,21.5,48.974
427108,21.41,60.476
428175,21.71,45.612
429245,21.71,45.612
430315,21.52,48.934
431386,21.42,60.476
432460,21.71,45.612
433534,21.42,60.476
434608,21.51,48.893
435687,21.52,48.974
436766,21.72,45.612
437845,21.41,60.476
438927,21.4,60.476
440010,21.71,45.612
441093,21.52,48.974
442180,21.72,45.612
443267,21.42,60.476
444354,21.51,48.974
445444,21.42,60.476
446534,21.51,48.934
447624,21.71,45.612
448719,21.51,48.974
449814,21.71,45.612
450909,21.41,60.476
452007,21.51,49.055
453106,21.71,45.612
454205,21.42,60.476
455307,21.51,49.014
456410,21.72,45.612
457513,21.42,60.476
458619,21.72,45.612
459725,21.4,60.476
460832,21.51,48.974
461942,21.72,45.653
463052,21.42,60.476
464163,21.52,48.893
465277,21.5,48.852
466391,21.41,60.476
467506,21.71,45.653
468624,21.42,60.476
469742,21.5,48.893
470861,21.72,45.653
471983,21.51,48.934
473105,21.71,45.612
474228,21.4,60.476
475354,21.52,48.812
476480,21.71,45.612
477607,21.41,60.476
478737,21.71,45.572
479867,21.42,60.476
480998,21.52,48.893
482132,21.71,45.572
483267,21.41,60.476
484402,21.52,48.852
485541,21.72,45.572
486680,21.41,60.476
487819,21.51,48.691
488962,21.72,45.612
490105,21.52,48.65
491248,21.42,60.476
492394,21.71,45.653
493541,21.41,60.476
494688,21.52,48.852
495838,21.72,45.653
496989,21.41,60.476
498140,21.52,48.893
499294,21.51,48.893
500448,21.72,45.612
501603,21.41,60.517
502761,21.72,45.653
503919,21.41,60.517
505077,21.5,48.893
506239,21.72,45.653
507401,21.42,60.476
508564,21.52,48.893
509730,21.72,45.653
510897,21.4,60.476
512064,21.52,48.812
513234,21.52,48.691
514404,21.72,45.653
515575,21.41,60.476
516749,21.72,45.572
517924,21.42,60.517
519099,21.5,48.65
520277,21.71,45.572
521455,21.42,60.476
522634,21.5,48.731
523817,21.42,60.517
525000,21.51,48.691
526183,21.74,45.572
