Time,Temperature,Humidity
108769,20.72,45.248
109236,21.1,43.547
109705,21.14,42.332
110174,20.74,41.319
110643,20.71,45.248
111114,21.11,43.547
111587,21.14,42.332
112060,20.73,41.319
112533,20.72,45.248
113008,21.11,43.547
113484,20.72,45.248
113961,20.74,41.36
114438,21.14,42.332
114918,21.12,43.547
115399,20.74,41.319
115880,21.15,42.332
116361,20.72,45.248
116844,21.12,43.547
117328,21.14,42.291
117812,20.72,45.248
118297,20.74,41.279
118784,21.11,43.547
119272,21.15,42.332
119760,20.71,45.248
120249,20.74,41.319
120740,21.11,43.547
121232,20.74,41.319
121725,21.14,42.373
122218,20.72,45.248
122713,21.11,43.547
123210,21.14,42.413
123707,20.72,45.208
124204,20.72,41.319
124703,21.12,43.547
125203,21.14,42.413
125703,20.73,41.36
126204,20.72,45.248
126707,21.12,43.547
127212,20.74,41.36
127717,21.14,42.413
128222,20.72,45.248
128729,21.11,43.507
129238,20.72,45.208
129747,20.74,41.279
130256,21.14,42.413
130767,21.11,43.547
131279,20.71,45.208
131792,21.14,42.413
132305,20.74,41.279
132820,21.11,43.507
133337,20.73,41.319
133854,20.72,45.167
134371,21.13,42.413
134890,21.11,43.507
135410,20.73,41.319
135931,21.16,42.413
136452,20.72,45.208
136975,21.11,43.547
137500,20.74,41.36
138025,20.72,45.208
138550,21.14,42.413
139077,21.1,43.507
139605,20.72,45.208
140134,21.14,42.413
140663,20.74,41.279
141194,21.1,43.507
141726,20.73,41.279
142259,21.14,42.413
142792,20.72,45.208
143327,21.11,43.507
143863,20.72,45.208
144400,20.73,41.319
144937,21.14,42.413
145476,21.11,43.547
146016,20.72,45.208
146556,20.73,41.319
147097,21.14,42.413
147640,21.11,43.507
148184,21.14,42.413
148729,20.72,45.208
149274,20.73,41.319
149822,21.11,43.507
150371,21.13,42.413
150920,20.71,45.208
151469,20.73,41.319
152021,21.1,43.507
152574,20.72,45.208
153127,21.14,42.373
153680,20.74,41.36
154235,21.1,43.507
154791,21.14,42.373
155348,20.72,45.167
155906,20.74,41.279
156465,21.11,43.547
157025,21.14,42.413
157586,20.71,45.208
158149,21.11,43.507
158713,20.72,45.208
159278,21.14,42.373
159843,20.74,41.279
160408,20.74,41.319
160975,21.1,43.547
161544,20.71,45.208
162113,21.14,42.413
162682,20.73,41.36
163253,21.11,43.507
163826,20.72,45.208
164399,20.74,41.36
164972,21.15,42.413
165547,21.11,43.507
166124,20.74,41.36
166701,21.14,42.413
167278,20.72,45.208
167858,21.1,43.507
168439,20.72,45.208
169020,21.14,42.413
169601,20.74,41.279
170184,21.11,43.507
170768,21.14,42.413
171352,20.74,41.279
171937,20.72,45.208
172525,21.11,43.507
173113,21.14,42.373
173702,20.71,45.208
174291,20.74,41.279
174882,21.11,43.507
175474,21.14,42.373
176066,20.72,45.208
176659,20.74,41.319
177255,21.1,43.507
177851,20.72,45.208
178448,21.14,42.373
179045,20.74,41.279
179644,21.11,43.507
180245,20.72,45.208
180846,21.14,42.373
181448,20.74,41.319
182051,21.11,43.466
182656,21.14,42.332
183261,20.71,45.208
183866,20.74,41.319
184473,21.1,43.466
185081,20.74,41.319
185690,21.14,42.332
186299,20.71,45.208
186911,21.1,43.507
187523,21.13,42.332
188136,20.74,41.279
188749,20.71,45.208
189364,21.1,43.507
189981,20.72,45.167
190598,21.14,42.332
191215,20.74,41.279
191834,21.11,43.507
192455,20.74,41.279
193076,21.14,42.332
193697,20.72,45.208
194320,21.1,43.507
194944,20.72,45.208
195569,20.74,41.279
196194,21.14,42.332
196821,21.1,43.507
197449,20.72,45.208
198077,20.74,41.319
198706,21.14,42.373
199337,21.1,43.507
199969,20.73,45.208
200602,21.14,42.413
201235,20.74,41.36
201870,21.1,43.507
202506,20.75,41.36
203143,21.14,42.373
203780,20.71,45.208
204419,21.1,43.507
205060,20.7,45.208
205701,20.74,41.319
206342,21.14,42.332
206985,21.1,43.466
207629,20.72,45.208
208274,20.74,41.279
208919,21.14,42.291
209566,21.1,43.466
210214,21.14,42.332
210863,20.74,41.239
211512,20.71,45.208
212163,21.09,43.466
212815,20.72,45.208
213468,21.14,42.413
214121,20.76,41.279
214776,21.1,43.466
215432,20.72,45.208
216089,21.13,42.413
216746,20.75,41.279
217405,21.11,43.466
218066,20.72,45.167
218727,21.14,42.413
219388,20.75,41.279
220051,21.11,43.466
220716,21.14,42.413
221381,20.71,45.208
222046,20.75,41.279
222713,21.1,43.466
223382,20.74,41.279
224051,21.13,42.373
224720,20.71,45.208
225391,21.1,43.466
226064,21.14,42.373
226737,20.75,41.279
227411,20.72,45.208
228086,21.1,43.466
228762,21.14,42.291
229438,20.74,41.279
230114,20.71,45.167
230793,21.11,43.466
231473,21.14,42.332
232154,20.75,41.279
232835,20.71,45.208
233518,21.1,43.466
234202,21.14,42.332
234887,20.72,45.167
235572,20.74,41.279
236259,21.1,43.466
236947,20.72,45.167
237636,21.14,42.332
238327,21.1,43.466
239019,20.76,41.279
239711,21.14,42.332
240404,20.75,41.279
241097,20.71,45.167
241792,21.1,43.466
242489,20.73,45.167
243186,20.75,41.279
243883,21.14,42.332
244583,21.1,43.466
245283,20.72,45.167
245983,21.14,42.332
246684,20.75,41.279
247388,21.1,43.466
248093,20.72,45.167
248798,20.75,41.279
249504,21.14,42.332
250211,21.1,43.466
250919,20.72,45.167
251627,21.14,42.332
252336,20.75,41.239
253048,21.1,43.466
253760,21.15,42.332
254472,20.73,45.167
255185,20.76,41.239
255900,21.1,43.466
256617,20.72,45.167
257334,20.76,41.279
258051,21.14,42.291
258770,21.1,43.466
259490,21.14,42.291
260211,20.74,41.239
260932,20.73,45.167
261655,21.1,43.466
262379,21.14,42.332
263104,20.73,45.167
263829,20.76,41.239
264557,21.1,43.466
265285,20.73,45.167
266014,20.75,41.239
266743,21.14,42.332
267474,21.1,43.466
268207,20.75,41.239
268940,20.71,45.167
269674,21.15,42.291
270410,21.1,43.466
271146,20.75,41.239
271883,20.71,45.167
272620,21.15,42.291
273359,21.1,43.466
274099,20.74,41.279
274840,21.15,42.251
275581,20.72,45.167
276324,21.1,43.466
277068,20.72,45.167
277813,20.75,41.279
278558,21.14,42.251
279305,21.1,43.466
280054,20.73,45.167
280803,20.74,41.279
281552,21.15,42.332
282304,21.1,43.466
283057,20.72,45.167
283810,20.75,41.239
284563,21.14,42.332
285319,21.1,43.466
286075,20.72,45.167
286831,21.15,42.332
287587,20.76,41.279
288347,21.1,43.466
289107,20.72,45.167
289868,20.76,41.279
290629,21.14,42.373
291392,21.11,43.466
292156,20.72,45.167
292921,20.76,41.279
293686,21.14,42.373
294453,21.1,43.466
295222,20.75,41.279
295991,20.72,45.167
296760,21.15,42.413
297531,21.1,43.466
298304,20.72,45.167
299077,21.14,42.373
299850,20.75,41.239
300625,21.1,43.466
301402,21.14,42.332
302179,20.71,45.167
302956,20.74,41.279
303736,21.1,43.466
304516,21.14,42.332
305297,20.76,41.279
306078,20.71,45.167
306861,21.1,43.466
307645,20.72,45.167
308430,21.15,42.332
309215,20.75,41.239
310002,21.11,43.466
310790,20.76,41.239
311578,21.15,42.291
312367,20.72,45.167
313159,21.1,43.466
313951,20.72,45.167
314744,20.76,41.239
315537,21.15,42.332
316332,21.1,43.466
317128,20.72,45.167
317925,21.14,42.332
318722,20.75,41.239
319521,21.1,43.466
320321,21.15,42.332
321122,20.71,45.167
321923,20.76,41.198
322726,21.1,43.466
323530,20.72,45.167
324334,20.75,41.198
325139,21.15,42.291
325946,21.09,43.466
326754,21.15,42.332
327562,20.73,45.167
328371,20.75,41.239
329182,21.1,43.466
329994,20.73,45.167
330806,21.16,42.332
331618,20.75,41.198
332433,21.1,43.466
333250,20.73,45.127
334067,20.76,41.239
334884,21.15,42.332
335703,21.1,43.466
336523,20.72,45.167
337344,21.16,42.332
338165,20.75,41.239
338988,21.1,43.466
339812,21.16,42.332
340637,20.73,45.167
341463,20.74,41.239
342290,21.1,43.466
343118,20.75,41.239
343947,21.14,42.332
344776,20.74,45.167
345607,21.11,43.466
346439,21.16,42.332
347272,20.74,41.239
348106,20.73,45.167
348942,21.11,43.466
349778,20.72,45.167
350615,21.15,42.332
351453,20.75,41.279
352293,21.1,43.466
353133,20.74,41.279
353973,21.16,42.332
354814,20.74,45.167
355657,21.1,43.466
356501,20.74,41.239
357346,20.73,45.127
358191,21.15,42.332
359038,21.11,43.466
359886,21.15,42.332
360734,20.74,41.239
361582,20.74,45.127
362433,21.1,43.426
363286,20.72,45.127
364139,21.15,42.332
364992,20.74,41.279
365847,21.1,43.466
366704,20.72,45.127
367561,21.15,42.332
368418,20.75,41.239
369277,21.11,43.426
370137,21.14,42.291
370998,20.74,45.127
371859,20.75,41.239
372722,21.1,43.466
373586,21.14,42.291
374451,20.73,45.127
375316,20.75,41.279
376183,21.11,43.466
377052,21.14,42.291
377921,20.74,41.279
378791,20.73,45.127
379662,21.1,43.426
380535,21.14,42.291
381408,20.76,41.239
382281,20.73,45.127
383156,21.11,43.466
384032,20.74,45.127
384909,20.74,41.198
385786,21.14,42.291
386665,21.09,43.466
387546,20.73,45.127
388427,21.14,42.332
389308,20.74,41.239
390191,21.1,43.466
391076,21.14,42.332
391961,20.73,45.127
392846,20.74,41.239
393733,21.1,43.426
394622,21.14,42.373
395511,20.76,41.239
396400,20.73,45.127
397291,21.11,43.466
398183,20.74,45.086
399076,21.14,42.373
399969,20.75,41.239
400864,21.11,43.466
401761,21.15,42.332
402658,20.75,41.239
403555,20.74,45.127
404455,21.1,43.466
405356,20.75,41.239
406257,21.14,42.332
407158,20.74,45.127
408061,21.11,43.466
408966,21.14,42.332
409871,20.74,41.239
410777,20.72,45.127
411684,21.11,43.426
412593,20.75,41.239
413502,21.14,42.332
414411,20.74,45.127
415322,21.1,43.466
416234,20.75,41.239
417147,21.14,42.332
418061,20.74,45.127
418977,21.1,43.466
419894,21.14,42.373
420811,20.74,45.086
421728,20.75,41.239
422647,21.1,43.466
423568,21.14,42.413
424489,20.74,45.086
425410,20.76,41.239
426334,21.11,43.466
427258,21.14,42.413
428182,20.74,45.127
429107,20.76,41.239
